City and County of Broomfield - Mayor (2 Years) (Vote For=1),Guyleen Castriotta,16966
City and County of Broomfield - Mayor (2 Years) (Vote For=1),Kimberly Groom,11721
City and County of Broomfield Councilmember Ward 1 (4 Years) (Vote For=1),Liz Law-Evans,1961
City and County of Broomfield Councilmember Ward 1 (4 Years) (Vote For=1),Julie Twiss,3120
City and County of Broomfield Councilmember Ward 2 (4 Years) (Vote For=1),Colin Dielmann,1076
City and County of Broomfield Councilmember Ward 2 (4 Years) (Vote For=1),Austin Ward,2371
City and County of Broomfield Councilmember Ward 3 (4 Years) (Vote For=1),PizzaPete Crouse,2597
City and County of Broomfield Councilmember Ward 3 (4 Years) (Vote For=1),Sarah Braun,3906
City and County of Broomfield Councilmember Ward 4 (4 Years) (Vote For=1),Sean McKenzie,3966
City and County of Broomfield Councilmember Ward 4 (4 Years) (Vote For=1),Larry Hardouin,3213
City and County of Broomfield Councilmember Ward 5 (4 Years) (Vote For=1),Todd Cohen,3334
City and County of Broomfield Councilmember Ward 5 (4 Years) (Vote For=1),Chad Swenson,2330
Adams 12 Five Star Schools School Director District No. 3 (Vote For=1),Juan Evans,5745
Adams 12 Five Star Schools School Director District No. 3 (Vote For=1),Ike Anyanwu-Ebo,7632
Adams 12 Five Star Schools School Director District No. 4 (Vote For=1),Amira Assad-Lucas,9733
Boulder Valley School District RE-2 Director District B (4 Years) (Vote For=1),Nicole Rajpal,6606
Boulder Valley School District RE-2 Director District E (4 Years) (Vote For=1),Jeffrey Lowe Anderson,3688
Boulder Valley School District RE-2 Director District E (4 Years) (Vote For=1),Deann Bucher,4123
Boulder Valley School District RE-2 Director District F (4 Years) (Vote For=1),Ana Temu Otting,6647
Jefferson County School District R-1 Director District 1 (Vote For=1),Michael Yocum,457
Jefferson County School District R-1 Director District 1 (Vote For=1),Denine Echevarria,1074
Jefferson County School District R-1 Director District 2 (Vote For=1),Samuel Myrant,521
Jefferson County School District R-1 Director District 2 (Vote For=1),Peter Gibbins,1101
Jefferson County School District R-1 Director District 5 (Vote For=1),Mary Parker,507
Jefferson County School District R-1 Director District 5 (Vote For=1),Tina Moeinian,681
Jefferson County School District R-1 Director District 5 (Vote For=1),"Gloria ""Terri"" Rascon",420
School District 27J Board of Education Director District No. 2 (Vote For=1),Starr Trujillo,0
School District 27J Board of Education Director District No. 4 (Vote For=1),Ashley Conn,0
School District 27J Board of Education Director District No. 5 (Vote For=1),Ramon Alvarado,0
School District 27J Board of Education Director District No. 6 (Vote For=1),Tracie Alvarado,0
School District 27J Board of Education Director District No. 6 (Vote For=1),Amy Gomez,0
St Vrain Valley School District RE-1J Board of Education Director District B (Vote For=1),Peggy A. Kelly,212
St Vrain Valley School District RE-1J Board of Education Director District B (Vote For=1),Hadley Solomon,460
St Vrain Valley School District RE-1J Board of Education Director District D (Vote For=1),Meosha Babbs,428
St Vrain Valley School District RE-1J Board of Education Director District D (Vote For=1),John Ahrens,228
St Vrain Valley School District RE-1J Board of Education Director District E (Vote For=1),Jocelyn Gilligan,546
St Vrain Valley School District RE-1J Board of Education Director District F (Vote For=1),Sarah Hurianek,535
Weld RE-8 School District Director District A (Vote For=1),Brian Hardwick,0
Weld RE-8 School District Director District F (Vote For=1),Dez Packard,0
Weld RE-8 School District Director District G (Vote For=1),Cristian Gonzalez-Torres,0
Weld RE-8 School District Director District G (Vote For=1),Erica Seegrist,0
Proposition LL (Statutory) (Vote For=1),Yes/For,19982
Proposition LL (Statutory) (Vote For=1),No/Against,9103
Proposition MM (Statutory) (Vote For=1),Yes/For,18366
Proposition MM (Statutory) (Vote For=1),No/Against,10760
Proposed Charter Amendment No.1A (General Update) (Vote For=1),Yes/For,25600
Proposed Charter Amendment No.1A (General Update) (Vote For=1),No/Against,2646
Proposed Charter Amendment No. 1B (Council Qualifications) (Vote For=1),Yes/For,26664
Proposed Charter Amendment No. 1B (Council Qualifications) (Vote For=1),No/Against,1738
Proposed Charter Amendment No. 1C (Elected Official Vacancy Provision) (Vote For=1),Yes/For,22849
Proposed Charter Amendment No. 1C (Elected Official Vacancy Provision) (Vote For=1),No/Against,5452
Proposed Charter Amendment No. 1D (Local Code of Ethics) (Vote For=1),Yes/For,25419
Proposed Charter Amendment No. 1D (Local Code of Ethics) (Vote For=1),No/Against,2428
Proposed Charter Amendment No. 1E (Emergency Ordinances) (Vote For=1),Yes/For,18088
Proposed Charter Amendment No. 1E (Emergency Ordinances) (Vote For=1),No/Against,9522
Proposed Charter Amendment No. 1F (Intergovernmental Agreements) (Vote For=1),Yes/For,16462
Proposed Charter Amendment No. 1F (Intergovernmental Agreements) (Vote For=1),No/Against,10748
ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B: (Vote For=1),Yes/For,8250
ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B: (Vote For=1),No/Against,7306
